id_venda,data_venda,regiao,produto,preco_unitario,quantidade,desconto,idade_cliente,renda_cliente,faturamento
157,2023-03-27,Leste,Mouse,2861.21,5,0.0,30,4459.04,14306.05
158,2023-10-11,Oeste,Monitor,3015.04,7,0.15,58,3100.1,17939.487999999998
159,2023-03-07,Norte,Notebook,3047.17,9,0.0,40,3835.08,27424.53
160,2023-06-19,Norte,Teclado,2384.38,3,0.1,36,3172.8,6437.826
161,2023-02-14,Oeste,Teclado,3034.48,0,0.1,62,4240.58,21848.256
162,2023-03-03,Norte,Notebook,2348.63,2,0.0,28,7067.56,4697.26
163,2023-05-14,Oeste,Notebook,2963.44,7,0.0,18,2442.15,20744.08
164,2023-10-11,Oeste,Monitor,2897.83,2,0.15,41,2079.66,4926.311
165,2023-01-28,Oeste,Monitor,3110.28,4,0.0,24,6706.76,12441.12
166,2023-04-18,Norte,Mouse,3010.37,7,0.15,42,4186.01,17911.7015
167,2023-02-13,Leste,Monitor,2146.05,3,0.15,38,3496.39,5472.427500000001
168,2023-12-06,Oeste,Teclado,2866.97,2,0.0,32,6059.86,5733.94
169,2023-10-13,Sul,Teclado,3022.72,7,0.05,18,3591.58,20101.087999999996
170,2023-11-27,Norte,Notebook,1467.1,1,0.05,29,7239.01,1393.745
171,2023-05-08,Oeste,Monitor,2280.76,8,0.15,24,5516.89,15509.168000000001
172,2023-12-14,Oeste,Mouse,2986.49,3,0.0,32,3768.13,8959.47
173,2023-08-19,Sul,Teclado,-1.0,2,0.05,38,7735.96,7348.116999999999
174,2023-07-09,Leste,Teclado,3159.92,3,0.0,36,3591.43,9479.76
175,2023-08-13,Leste,Mouse,3917.9,5,0.0,46,5613.14,19589.5
176,2023-10-10,Leste,Mouse,2181.3,8,0.0,42,4948.94,17450.4
177,2023-05-01,Oeste,Teclado,2700.15,7,,50,6452.61,18901.05
178,2023-04-26,Oeste,Teclado,3144.59,7,0.0,66,6842.27,22012.13
179,2023-08-21,Oeste,Mouse,638.92,7,,49,4548.01,4472.44
180,2023-09-16,Norte,Teclado,3708.64,8,0.15,66,3369.87,25218.751999999997
181,2023-12-25,Sul,Notebook,1011.27,1,0.05,52,5189.96,960.7064999999999
182,2023-07-17,Oeste,Notebook,3297.55,4,0.05,61,3483.43,12530.69
183,2023-05-17,Sul,Mouse,-1.0,6,0.05,55,7520.08,17381.979
184,2023-11-14,Sul,Monitor,628.33,9,0.05,43,4704.8,5372.2215
185,2023-06-14,Leste,Mouse,668.75,2,0.05,28,3952.02,1270.625
186,2023-08-13,Norte,Mouse,3645.99,1,0.05,52,4777.02,3463.6904999999997
187,2023-11-03,Oeste,Monitor,3471.78,2,0.05,25,2479.31,6596.3820000000005
188,2023-08-22,Leste,Monitor,1795.31,7,0.15,63,3042.58,10682.0945
189,2023-06-21,Leste,Monitor,1794.5,3,0.0,31,6300.62,5383.5
190,2023-06-01,Oeste,Notebook,2910.08,2,0.1,27,3514.66,5238.144
191,2023-11-11,Sul,Teclado,2489.8,7,,19,2929.63,17428.600000000002
192,2023-06-09,Leste,Notebook,3343.52,2,0.1,63,5304.98,6018.336
193,2023-04-06,Sul,Teclado,2883.66,3,0.1,26,6278.56,7785.882
194,2023-08-21,Norte,Notebook,3766.42,7,0.0,20,5578.43,26364.940000000002
195,2023-06-29,Sul,Teclado,3276.06,4,0.0,38,5994.07,13104.24
196,2023-04-23,Norte,Notebook,3076.62,1,0.0,43,3364.81,3076.62
197,2023-11-14,Sul,Monitor,2218.3,5,0.05,25,2367.28,10536.925
198,2023-02-21,Leste,Mouse,2159.74,0,0.15,65,6752.0,16522.010999999995
199,2023-09-25,Leste,Notebook,2458.59,8,0.05,19,4015.98,18685.284
200,2023-10-22,Norte,Teclado,3972.75,9,0.15,23,4123.75,30391.5375
201,2023-04-23,Oeste,Monitor,2174.98,9,0.15,45,6492.29,16638.596999999998
202,2023-04-11,Norte,Notebook,2708.42,7,0.1,,5334.35,17063.046000000002
203,2023-04-23,Norte,Notebook,704.16,4,0.1,46,5183.83,2534.976
204,2023-03-22,Sul,Monitor,3040.65,5,0.15,43,7747.5,12922.762499999999
205,2023-07-06,Sul,Notebook,4305.76,1,0.15,42,3534.72,3659.896
206,2023-04-23,Norte,Mouse,1753.09,1,0.05,29,5891.76,1665.4354999999998
207,2023-01-02,Leste,Notebook,5039.55,3,0.05,22,4585.52,14362.7175
208,2023-05-10,Sul,Mouse,2645.79,8,0.1,51,4902.89,19049.688000000002
209,2023-08-08,Oeste,Mouse,441.66,2,0.0,65,6792.7,883.32
210,2023-02-23,Sul,Monitor,2191.57,4,0.15,54,5261.75,7451.338000000001
211,2023-12-09,Sul,Notebook,3564.35,2,0.05,32,5307.44,6772.264999999999
212,2023-08-12,Oeste,Monitor,4099.45,5,0.1,61,6108.76,18447.525
213,2023-08-13,Norte,Notebook,3074.48,9,0.05,53,3952.57,26286.804
214,2023-05-06,Oeste,Notebook,3754.08,1,0.15,32,3241.19,3190.968
215,2023-05-10,Norte,Teclado,1557.77,5,0.15,60,2932.79,6620.5225
216,2023-02-22,Norte,Notebook,1955.79,9,,65,1550.47,17602.11
217,2023-06-21,Norte,Monitor,1156.43,1,0.0,40,7584.31,1156.43
218,2023-08-06,Oeste,Mouse,2015.95,9,,23,2845.19,18143.55
219,2023-06-09,Norte,Notebook,3109.54,8,0.1,63,4168.12,22388.688000000002
220,2023-07-17,Leste,Teclado,2670.12,4,0.05,67,4084.78,10146.455999999998
221,2023-09-04,Oeste,Monitor,3194.28,5,0.1,61,4961.11,14374.260000000002
222,2023-11-20,Leste,Notebook,1750.79,5,0.15,60,5723.61,7440.8575
223,2023-07-22,Norte,Monitor,1799.58,6,,62,5790.71,10797.48
224,2023-07-03,Sul,Teclado,2663.69,7,,38,3625.38,18645.83
225,2023-05-03,Norte,Teclado,2017.88,8,,40,4249.32,16143.04
226,2023-09-12,Leste,Monitor,3541.48,8,0.1,60,4923.87,25498.656
227,2023-10-21,Leste,Notebook,1998.06,2,0.15,33,4126.96,3396.7019999999998
228,2023-10-07,Oeste,Mouse,-1.0,9,0.05,64,6911.02,17986.549499999997
229,2023-11-21,Sul,Teclado,2835.07,7,0.05,,5236.46,18853.215500000002
230,2023-04-08,Oeste,Notebook,2188.57,4,0.1,32,5602.32,7878.852000000001
231,2023-07-17,Leste,Notebook,1512.04,4,,42,5494.32,6048.16
232,2023-08-28,Norte,Mouse,1620.52,8,0.0,53,6260.21,12964.16
233,2023-05-24,Sul,Teclado,2930.21,4,0.1,28,4771.53,10548.756000000001
234,2023-04-07,Norte,Teclado,1413.03,6,0.1,68,2554.75,7630.362
235,2023-07-20,Norte,Notebook,3617.73,5,0.15,32,5099.53,15375.3525
236,2023-05-04,Sul,Notebook,1947.68,3,0.05,21,3522.96,5550.888
237,2023-07-06,Oeste,Mouse,2992.97,2,0.1,38,3707.07,5387.346
238,2023-11-22,Norte,Mouse,1995.67,9,0.1,30,5379.55,16164.927
239,2023-12-15,Leste,Teclado,1767.81,9,,39,6357.42,15910.289999999999
240,2023-09-16,Norte,Monitor,2696.88,0,,36,4531.91,2696.88
241,2023-05-28,Sul,Teclado,3341.43,3,0.0,51,4963.25,10024.289999999999
242,2023-09-09,Sul,Notebook,2302.11,8,0.15,31,7053.32,15654.348
243,2023-12-12,Sul,Teclado,2447.62,6,0.0,21,4861.13,14685.72
244,2023-05-27,Oeste,Monitor,3145.93,5,,65,8402.52,15729.65
245,2023-05-28,Norte,Mouse,3172.42,5,0.05,,5348.26,15068.994999999999
246,2023-12-18,Oeste,Monitor,2469.21,6,,69,1858.86,14815.26
247,2023-07-18,Oeste,Monitor,2145.22,7,0.15,63,5630.01,12764.059
248,2023-11-04,Sul,Monitor,2566.12,1,,44,5071.74,2566.12
249,2023-05-08,Sul,Mouse,2347.27,9,0.15,46,6434.63,17956.6155
250,2023-02-08,Oeste,Monitor,2750.38,3,0.15,64,5509.77,7013.468999999999
251,2023-12-04,Norte,Monitor,-1.0,4,0.15,45,4292.32,5251.571999999999
252,2023-12-26,Leste,Monitor,2721.75,1,0.15,52,2663.55,2313.4874999999997
253,2023-05-09,Oeste,Notebook,1925.36,3,0.15,25,4186.47,4909.668
254,2023-09-24,Norte,Monitor,3224.71,2,0.05,33,3224.22,6126.949
255,2023-05-31,Sul,Mouse,1962.03,2,0.0,59,3629.21,3924.06
256,2023-10-25,Sul,Monitor,1975.91,1,0.1,53,5382.87,1778.3190000000002
257,2023-04-09,Norte,Monitor,2856.32,8,0.0,47,7004.86,22850.56
258,2023-09-20,Leste,Mouse,2511.37,3,0.15,35,5092.01,6403.9935
259,2023-09-09,Sul,Monitor,4321.32,3,0.05,19,2706.18,12315.761999999999
260,2023-05-24,Sul,Mouse,1196.56,0,,66,5166.9,7179.36
261,2023-12-12,Sul,Monitor,2587.88,8,0.05,30,6294.95,19667.888
262,2023-04-22,Norte,Mouse,3403.72,9,0.15,21,3585.33,26038.458
263,2023-03-01,Oeste,Monitor,2037.35,9,0.05,43,4298.97,17419.3425
264,2023-01-02,Sul,Monitor,1771.55,4,0.05,42,4522.03,6731.889999999999
265,2023-10-31,Oeste,Notebook,1803.31,5,0.15,47,3322.65,7664.067499999999
266,2023-09-11,Leste,Notebook,1210.43,2,0.05,28,5472.42,2299.817
267,2023-05-20,Sul,Monitor,3579.76,9,0.1,24,4318.58,28996.056000000004
268,2023-02-06,Sul,Monitor,2236.31,8,0.1,48,5129.3,16101.432
269,2023-06-09,Leste,Teclado,2141.58,3,0.05,61,3168.76,6103.503
270,2023-01-09,Sul,Mouse,800.72,9,,27,3843.81,7206.4800000000005
271,2023-08-21,Oeste,Teclado,1353.03,3,0.15,56,5583.57,3450.2265
272,2023-04-09,Norte,Notebook,3672.31,9,0.1,30,3940.75,29745.711000000003
273,2023-05-27,Oeste,Notebook,2742.48,2,,48,7090.45,5484.96
274,2023-10-31,Norte,Notebook,3433.2,9,0.05,24,3900.55,29353.859999999997
275,2023-07-27,Norte,Notebook,3331.99,8,,66,4837.03,26655.92
276,2023-05-11,Oeste,Monitor,1699.5,9,0.0,59,5898.89,15295.5
277,2023-06-01,Oeste,Notebook,4443.88,5,0.1,59,2372.45,19997.460000000003
278,2023-02-23,Oeste,Monitor,4059.79,2,0.05,53,1858.79,7713.601
279,2023-04-30,Oeste,Monitor,2048.99,8,0.15,37,2211.52,13933.131999999998
280,2023-06-10,Leste,Notebook,-354.56,6,0.05,21,6393.88,-2020.992
281,2023-04-26,Sul,Notebook,2214.77,8,0.15,24,3672.21,15060.436
282,2023-03-16,Norte,Mouse,2690.64,5,0.05,18,8337.3,12780.539999999999
283,2023-04-23,Oeste,Teclado,2045.82,2,,61,3653.63,4091.64
284,2023-04-14,Oeste,Notebook,2322.78,6,,62,4776.83,13936.68
285,2023-12-06,Oeste,Mouse,1837.07,5,,59,6813.16,9185.35
286,2023-09-11,Leste,Mouse,3237.31,5,0.0,64,7509.14,16186.55
287,2023-08-15,Oeste,Teclado,2550.91,1,0.15,30,7592.26,2168.2735
288,2023-04-22,Oeste,Monitor,3261.21,2,,39,6312.55,6522.42
289,2023-04-09,Oeste,Notebook,3477.76,8,0.0,38,6036.09,27822.08
290,2023-06-02,Sul,Teclado,760.54,3,0.15,39,5388.79,1939.377
291,2023-12-15,Leste,Notebook,1883.58,3,0.05,45,5667.54,5368.2029999999995
292,2023-12-04,Oeste,Mouse,2000.78,8,0.0,26,3673.22,16006.24
293,2023-07-13,Norte,Mouse,4557.1,8,0.1,43,3272.7,32811.12
294,2023-11-06,Norte,Monitor,2619.2,2,0.0,26,4494.94,5238.4
295,2023-06-12,Norte,Mouse,3150.05,8,0.0,32,4244.72,25200.4
296,2023-07-27,Leste,Mouse,995.45,1,0.15,27,3820.16,846.1325
297,2023-06-18,Leste,Teclado,2614.57,6,0.05,41,5544.58,14903.049
298,2023-06-10,Norte,Notebook,3282.63,8,0.1,59,5932.96,23634.936
299,2023-03-09,Oeste,Notebook,3189.57,3,,25,4632.61,9568.710000000001
300,2023-10-16,Leste,Teclado,2998.72,8,,41,6716.3,23989.76
